	type	value	gset	source	perc
44266	"Random
subsampled RTs"	0.9733	ADaM2021	KY	0.8
44267	"Random
subsampled RTs"	0.9764	ADaM2021	KY	0.85
44268	"Random
subsampled RTs"	0.9784	ADaM2021	KY	0.9
44269	"Random
subsampled RTs"	0.9814	ADaM2021	KY	0.95
44270	"Random
subsampled RTs"	0.6955	Hart2017	AVANA	0.05
44271	"Random
subsampled RTs"	0.7464	Hart2017	AVANA	0.1
44272	"Random
subsampled RTs"	0.769	Hart2017	AVANA	0.15
44273	"Random
subsampled RTs"	0.7739	Hart2017	AVANA	0.2
44274	"Random
subsampled RTs"	0.7952	Hart2017	AVANA	0.25
44275	"Random
subsampled RTs"	0.8278	Hart2017	AVANA	0.3
44276	"Random
subsampled RTs"	0.8487	Hart2017	AVANA	0.35
44277	"Random
subsampled RTs"	0.8756	Hart2017	AVANA	0.4
44278	"Random
subsampled RTs"	0.8767	Hart2017	AVANA	0.45
44279	"Random
subsampled RTs"	0.8758	Hart2017	AVANA	0.5
44280	"Random
subsampled RTs"	0.8969	Hart2017	AVANA	0.55
44281	"Random
subsampled RTs"	0.9056	Hart2017	AVANA	0.6
44282	"Random
subsampled RTs"	0.911	Hart2017	AVANA	0.65
44283	"Random
subsampled RTs"	0.9083	Hart2017	AVANA	0.7
44284	"Random
subsampled RTs"	0.9108	Hart2017	AVANA	0.75
44285	"Random
subsampled RTs"	0.9115	Hart2017	AVANA	0.8
44286	"Random
subsampled RTs"	0.9332	Hart2017	AVANA	0.85
44287	"Random
subsampled RTs"	0.9413	Hart2017	AVANA	0.9
44288	"Random
subsampled RTs"	0.9438	Hart2017	AVANA	0.95
44289	"Random
subsampled RTs"	0.7375	Hart2017	KY	0.05
44290	"Random
subsampled RTs"	0.7996	Hart2017	KY	0.1
44291	"Random
subsampled RTs"	0.8171	Hart2017	KY	0.15
44292	"Random
subsampled RTs"	0.8864	Hart2017	KY	0.2
44293	"Random
subsampled RTs"	0.8987	Hart2017	KY	0.25
44294	"Random
subsampled RTs"	0.8521	Hart2017	KY	0.3
44295	"Random
subsampled RTs"	0.8499	Hart2017	KY	0.35
44296	"Random
subsampled RTs"	0.8675	Hart2017	KY	0.4
44297	"Random
subsampled RTs"	0.8815	Hart2017	KY	0.45
44298	"Random
subsampled RTs"	0.8804	Hart2017	KY	0.5
44299	"Random
subsampled RTs"	0.8978	Hart2017	KY	0.55
44300	"Random
subsampled RTs"	0.926	Hart2017	KY	0.6
44301	"Random
subsampled RTs"	0.9107	Hart2017	KY	0.65
44302	"Random
subsampled RTs"	0.9199	Hart2017	KY	0.7
44303	"Random
subsampled RTs"	0.9407	Hart2017	KY	0.75
44304	"Random
subsampled RTs"	0.9523	Hart2017	KY	0.8
44305	"Random
subsampled RTs"	0.9689	Hart2017	KY	0.85
44306	"Random
subsampled RTs"	0.9733	Hart2017	KY	0.9
44307	"Random
subsampled RTs"	0.9774	Hart2017	KY	0.95
44308	"Random
subsampled RTs"	0.307	ADaM2021	AVANA	0.05
44309	"Random
subsampled RTs"	0.4066	ADaM2021	AVANA	0.1
44310	"Random
subsampled RTs"	0.5213	ADaM2021	AVANA	0.15
44311	"Random
subsampled RTs"	0.6784	ADaM2021	AVANA	0.2
44312	"Random
subsampled RTs"	0.6993	ADaM2021	AVANA	0.25
44313	"Random
subsampled RTs"	0.7844	ADaM2021	AVANA	0.3
44314	"Random
subsampled RTs"	0.847	ADaM2021	AVANA	0.35
44315	"Random
subsampled RTs"	0.8868	ADaM2021	AVANA	0.4
44316	"Random
subsampled RTs"	0.9181	ADaM2021	AVANA	0.45
44317	"Random
subsampled RTs"	0.9264	ADaM2021	AVANA	0.5
44318	"Random
subsampled RTs"	0.9214	ADaM2021	AVANA	0.55
44319	"Random
subsampled RTs"	0.9117	ADaM2021	AVANA	0.6
44320	"Random
subsampled RTs"	0.9187	ADaM2021	AVANA	0.65
44321	"Random
subsampled RTs"	0.9268	ADaM2021	AVANA	0.7
44322	"Random
subsampled RTs"	0.9439	ADaM2021	AVANA	0.75
44323	"Random
subsampled RTs"	0.9478	ADaM2021	AVANA	0.8
44324	"Random
subsampled RTs"	0.9555	ADaM2021	AVANA	0.85
44325	"Random
subsampled RTs"	0.9614	ADaM2021	AVANA	0.9
44326	"Random
subsampled RTs"	0.9674	ADaM2021	AVANA	0.95
44327	"Random
subsampled RTs"	0.8468	ADaM2021	KY	0.05
44328	"Random
subsampled RTs"	0.8766	ADaM2021	KY	0.1
44329	"Random
subsampled RTs"	0.878	ADaM2021	KY	0.15
44330	"Random
subsampled RTs"	0.8956	ADaM2021	KY	0.2
44331	"Random
subsampled RTs"	0.886	ADaM2021	KY	0.25
44332	"Random
subsampled RTs"	0.9204	ADaM2021	KY	0.3
44333	"Random
subsampled RTs"	0.9169	ADaM2021	KY	0.35
44334	"Random
subsampled RTs"	0.9206	ADaM2021	KY	0.4
44335	"Random
subsampled RTs"	0.9353	ADaM2021	KY	0.45
44336	"Random
subsampled RTs"	0.9349	ADaM2021	KY	0.5
44337	"Random
subsampled RTs"	0.9518	ADaM2021	KY	0.55
44338	"Random
subsampled RTs"	0.9614	ADaM2021	KY	0.6
44339	"Random
subsampled RTs"	0.9637	ADaM2021	KY	0.65
44340	"Random
subsampled RTs"	0.9694	ADaM2021	KY	0.7
44341	"Random
subsampled RTs"	0.9704	ADaM2021	KY	0.75
44342	"Random
subsampled RTs"	0.9728	ADaM2021	KY	0.8
44343	"Random
subsampled RTs"	0.9754	ADaM2021	KY	0.85
44344	"Random
subsampled RTs"	0.9808	ADaM2021	KY	0.9
44345	"Random
subsampled RTs"	0.9825	ADaM2021	KY	0.95
44346	"Random
subsampled RTs"	0.5453	Hart2017	AVANA	0.05
44347	"Random
subsampled RTs"	0.7573	Hart2017	AVANA	0.1
44348	"Random
subsampled RTs"	0.8073	Hart2017	AVANA	0.15
44349	"Random
subsampled RTs"	0.8066	Hart2017	AVANA	0.2
44350	"Random
subsampled RTs"	0.8318	Hart2017	AVANA	0.25
44351	"Random
subsampled RTs"	0.7403	Hart2017	AVANA	0.3
44352	"Random
subsampled RTs"	0.8014	Hart2017	AVANA	0.35
44353	"Random
subsampled RTs"	0.8383	Hart2017	AVANA	0.4
44354	"Random
subsampled RTs"	0.8716	Hart2017	AVANA	0.45
44355	"Random
subsampled RTs"	0.8739	Hart2017	AVANA	0.5
44356	"Random
subsampled RTs"	0.8863	Hart2017	AVANA	0.55
44357	"Random
subsampled RTs"	0.8991	Hart2017	AVANA	0.6
44358	"Random
subsampled RTs"	0.9082	Hart2017	AVANA	0.65
44359	"Random
subsampled RTs"	0.9125	Hart2017	AVANA	0.7
44360	"Random
subsampled RTs"	0.9184	Hart2017	AVANA	0.75
44361	"Random
subsampled RTs"	0.9161	Hart2017	AVANA	0.8
44362	"Random
subsampled RTs"	0.9181	Hart2017	AVANA	0.85
44363	"Random
subsampled RTs"	0.911	Hart2017	AVANA	0.9
44364	"Random
subsampled RTs"	0.9409	Hart2017	AVANA	0.95
44365	"Random
subsampled RTs"	0.7874	Hart2017	KY	0.05
44366	"Random
subsampled RTs"	0.8532	Hart2017	KY	0.1
44367	"Random
subsampled RTs"	0.8549	Hart2017	KY	0.15
44368	"Random
subsampled RTs"	0.875	Hart2017	KY	0.2
44369	"Random
subsampled RTs"	0.8918	Hart2017	KY	0.25
44370	"Random
subsampled RTs"	0.9147	Hart2017	KY	0.3
44371	"Random
subsampled RTs"	0.9186	Hart2017	KY	0.35
44372	"Random
subsampled RTs"	0.9296	Hart2017	KY	0.4
44373	"Random
subsampled RTs"	0.9351	Hart2017	KY	0.45
44374	"Random
subsampled RTs"	0.9355	Hart2017	KY	0.5
44375	"Random
subsampled RTs"	0.932	Hart2017	KY	0.55
44376	"Random
subsampled RTs"	0.9445	Hart2017	KY	0.6
44377	"Random
subsampled RTs"	0.9429	Hart2017	KY	0.65
44378	"Random
subsampled RTs"	0.951	Hart2017	KY	0.7
44379	"Random
subsampled RTs"	0.9527	Hart2017	KY	0.75
44380	"Random
subsampled RTs"	0.9563	Hart2017	KY	0.8
44381	"Random
subsampled RTs"	0.9663	Hart2017	KY	0.85
44382	"Random
subsampled RTs"	0.9736	Hart2017	KY	0.9
44383	"Random
subsampled RTs"	0.9784	Hart2017	KY	0.95
44384	"Random
subsampled RTs"	0.8215	ADaM2021	AVANA	0.05
44385	"Random
subsampled RTs"	0.7985	ADaM2021	AVANA	0.1
44386	"Random
subsampled RTs"	0.7768	ADaM2021	AVANA	0.15
44387	"Random
subsampled RTs"	0.8448	ADaM2021	AVANA	0.2
44388	"Random
subsampled RTs"	0.8582	ADaM2021	AVANA	0.25
44389	"Random
subsampled RTs"	0.8674	ADaM2021	AVANA	0.3
44390	"Random
subsampled RTs"	0.9072	ADaM2021	AVANA	0.35
44391	"Random
subsampled RTs"	0.9182	ADaM2021	AVANA	0.4
44392	"Random
subsampled RTs"	0.9251	ADaM2021	AVANA	0.45
44393	"Random
subsampled RTs"	0.9282	ADaM2021	AVANA	0.5
44394	"Random
subsampled RTs"	0.9363	ADaM2021	AVANA	0.55
44395	"Random
subsampled RTs"	0.9387	ADaM2021	AVANA	0.6
44396	"Random
subsampled RTs"	0.9428	ADaM2021	AVANA	0.65
44397	"Random
subsampled RTs"	0.9441	ADaM2021	AVANA	0.7
44398	"Random
subsampled RTs"	0.9411	ADaM2021	AVANA	0.75
44399	"Random
subsampled RTs"	0.9351	ADaM2021	AVANA	0.8
44400	"Random
subsampled RTs"	0.9465	ADaM2021	AVANA	0.85
44401	"Random
subsampled RTs"	0.9546	ADaM2021	AVANA	0.9
44402	"Random
subsampled RTs"	0.9637	ADaM2021	AVANA	0.95
44403	"Random
subsampled RTs"	0.7498	ADaM2021	KY	0.05
44404	"Random
subsampled RTs"	0.8657	ADaM2021	KY	0.1
44405	"Random
subsampled RTs"	0.8374	ADaM2021	KY	0.15
44406	"Random
subsampled RTs"	0.8545	ADaM2021	KY	0.2
44407	"Random
subsampled RTs"	0.8647	ADaM2021	KY	0.25
44408	"Random
subsampled RTs"	0.8835	ADaM2021	KY	0.3
44409	"Random
subsampled RTs"	0.9022	ADaM2021	KY	0.35
44410	"Random
subsampled RTs"	0.9176	ADaM2021	KY	0.4
44411	"Random
subsampled RTs"	0.9355	ADaM2021	KY	0.45
44412	"Random
subsampled RTs"	0.9449	ADaM2021	KY	0.5
44413	"Random
subsampled RTs"	0.9468	ADaM2021	KY	0.55
44414	"Random
subsampled RTs"	0.9563	ADaM2021	KY	0.6
44415	"Random
subsampled RTs"	0.9632	ADaM2021	KY	0.65
44416	"Random
subsampled RTs"	0.9654	ADaM2021	KY	0.7
44417	"Random
subsampled RTs"	0.967	ADaM2021	KY	0.75
44418	"Random
subsampled RTs"	0.9717	ADaM2021	KY	0.8
44419	"Random
subsampled RTs"	0.9733	ADaM2021	KY	0.85
44420	"Random
subsampled RTs"	0.9791	ADaM2021	KY	0.9
44421	"Random
subsampled RTs"	0.9831	ADaM2021	KY	0.95
44422	"Random
subsampled RTs"	0.7794	Hart2017	AVANA	0.05
44423	"Random
subsampled RTs"	0.5594	Hart2017	AVANA	0.1
44424	"Random
subsampled RTs"	0.6408	Hart2017	AVANA	0.15
44425	"Random
subsampled RTs"	0.7767	Hart2017	AVANA	0.2
44426	"Random
subsampled RTs"	0.8228	Hart2017	AVANA	0.25
44427	"Random
subsampled RTs"	0.8611	Hart2017	AVANA	0.3
44428	"Random
subsampled RTs"	0.8618	Hart2017	AVANA	0.35
44429	"Random
subsampled RTs"	0.8845	Hart2017	AVANA	0.4
44430	"Random
subsampled RTs"	0.8896	Hart2017	AVANA	0.45
44431	"Random
subsampled RTs"	0.8961	Hart2017	AVANA	0.5
44432	"Random
subsampled RTs"	0.9024	Hart2017	AVANA	0.55
44433	"Random
subsampled RTs"	0.911	Hart2017	AVANA	0.6
44434	"Random
subsampled RTs"	0.9182	Hart2017	AVANA	0.65
44435	"Random
subsampled RTs"	0.9208	Hart2017	AVANA	0.7
44436	"Random
subsampled RTs"	0.9263	Hart2017	AVANA	0.75
44437	"Random
subsampled RTs"	0.9334	Hart2017	AVANA	0.8
44438	"Random
subsampled RTs"	0.9368	Hart2017	AVANA	0.85
44439	"Random
subsampled RTs"	0.9407	Hart2017	AVANA	0.9
44440	"Random
subsampled RTs"	0.9455	Hart2017	AVANA	0.95
44441	"Random
subsampled RTs"	0.812	Hart2017	KY	0.05
44442	"Random
subsampled RTs"	0.7446	Hart2017	KY	0.1
44443	"Random
subsampled RTs"	0.7785	Hart2017	KY	0.15
44444	"Random
subsampled RTs"	0.768	Hart2017	KY	0.2
44445	"Random
subsampled RTs"	0.8354	Hart2017	KY	0.25
44446	"Random
subsampled RTs"	0.8709	Hart2017	KY	0.3
44447	"Random
subsampled RTs"	0.9027	Hart2017	KY	0.35
44448	"Random
subsampled RTs"	0.9079	Hart2017	KY	0.4
44449	"Random
subsampled RTs"	0.9262	Hart2017	KY	0.45
44450	"Random
subsampled RTs"	0.9364	Hart2017	KY	0.5
44451	"Random
subsampled RTs"	0.9335	Hart2017	KY	0.55
44452	"Random
subsampled RTs"	0.943	Hart2017	KY	0.6
44453	"Random
subsampled RTs"	0.9453	Hart2017	KY	0.65
44454	"Random
subsampled RTs"	0.9525	Hart2017	KY	0.7
44455	"Random
subsampled RTs"	0.9594	Hart2017	KY	0.75
44456	"Random
subsampled RTs"	0.9655	Hart2017	KY	0.8
44457	"Random
subsampled RTs"	0.9702	Hart2017	KY	0.85
44458	"Random
subsampled RTs"	0.9722	Hart2017	KY	0.9
44459	"Random
subsampled RTs"	0.9762	Hart2017	KY	0.95
44460	"Random
subsampled RTs"	0.8201	ADaM2021	AVANA	0.05
44461	"Random
subsampled RTs"	0.7215	ADaM2021	AVANA	0.1
44462	"Random
subsampled RTs"	0.8412	ADaM2021	AVANA	0.15
44463	"Random
subsampled RTs"	0.8858	ADaM2021	AVANA	0.2
44464	"Random
subsampled RTs"	0.8957	ADaM2021	AVANA	0.25
44465	"Random
subsampled RTs"	0.8998	ADaM2021	AVANA	0.3
44466	"Random
subsampled RTs"	0.9165	ADaM2021	AVANA	0.35
44467	"Random
subsampled RTs"	0.9185	ADaM2021	AVANA	0.4
44468	"Random
subsampled RTs"	0.9249	ADaM2021	AVANA	0.45
44469	"Random
subsampled RTs"	0.9324	ADaM2021	AVANA	0.5
44470	"Random
subsampled RTs"	0.9358	ADaM2021	AVANA	0.55
44471	"Random
subsampled RTs"	0.9325	ADaM2021	AVANA	0.6
44472	"Random
subsampled RTs"	0.9428	ADaM2021	AVANA	0.65
44473	"Random
subsampled RTs"	0.9441	ADaM2021	AVANA	0.7
44474	"Random
subsampled RTs"	0.9389	ADaM2021	AVANA	0.75
44475	"Random
subsampled RTs"	0.9381	ADaM2021	AVANA	0.8
44476	"Random
subsampled RTs"	0.9368	ADaM2021	AVANA	0.85
44477	"Random
subsampled RTs"	0.9557	ADaM2021	AVANA	0.9
44478	"Random
subsampled RTs"	0.9664	ADaM2021	AVANA	0.95
44479	"Random
subsampled RTs"	0.8387	ADaM2021	KY	0.05
44480	"Random
subsampled RTs"	0.88	ADaM2021	KY	0.1
44481	"Random
subsampled RTs"	0.9001	ADaM2021	KY	0.15
44482	"Random
subsampled RTs"	0.9037	ADaM2021	KY	0.2
44483	"Random
subsampled RTs"	0.9059	ADaM2021	KY	0.25
44484	"Random
subsampled RTs"	0.9234	ADaM2021	KY	0.3
44485	"Random
subsampled RTs"	0.9296	ADaM2021	KY	0.35
44486	"Random
subsampled RTs"	0.9246	ADaM2021	KY	0.4
44487	"Random
subsampled RTs"	0.9434	ADaM2021	KY	0.45
44488	"Random
subsampled RTs"	0.9461	ADaM2021	KY	0.5
44489	"Random
subsampled RTs"	0.954	ADaM2021	KY	0.55
44490	"Random
subsampled RTs"	0.9595	ADaM2021	KY	0.6
44491	"Random
subsampled RTs"	0.9618	ADaM2021	KY	0.65
44492	"Random
subsampled RTs"	0.9518	ADaM2021	KY	0.7
44493	"Random
subsampled RTs"	0.9643	ADaM2021	KY	0.75
44494	"Random
subsampled RTs"	0.9589	ADaM2021	KY	0.8
44495	"Random
subsampled RTs"	0.9684	ADaM2021	KY	0.85
44496	"Random
subsampled RTs"	0.9772	ADaM2021	KY	0.9
44497	"Random
subsampled RTs"	0.9825	ADaM2021	KY	0.95
44498	"Random
subsampled RTs"	0.6919	Hart2017	AVANA	0.05
44499	"Random
subsampled RTs"	0.6731	Hart2017	AVANA	0.1
44500	"Random
subsampled RTs"	0.7385	Hart2017	AVANA	0.15
44501	"Random
subsampled RTs"	0.7522	Hart2017	AVANA	0.2
44502	"Random
subsampled RTs"	0.7249	Hart2017	AVANA	0.25
44503	"Random
subsampled RTs"	0.7054	Hart2017	AVANA	0.3
44504	"Random
subsampled RTs"	0.743	Hart2017	AVANA	0.35
44505	"Random
subsampled RTs"	0.7731	Hart2017	AVANA	0.4
44506	"Random
subsampled RTs"	0.7762	Hart2017	AVANA	0.45
44507	"Random
subsampled RTs"	0.8283	Hart2017	AVANA	0.5
44508	"Random
subsampled RTs"	0.8621	Hart2017	AVANA	0.55
44509	"Random
subsampled RTs"	0.8561	Hart2017	AVANA	0.6
44510	"Random
subsampled RTs"	0.9001	Hart2017	AVANA	0.65
44511	"Random
subsampled RTs"	0.9115	Hart2017	AVANA	0.7
44512	"Random
subsampled RTs"	0.9142	Hart2017	AVANA	0.75
44513	"Random
subsampled RTs"	0.9191	Hart2017	AVANA	0.8
44514	"Random
subsampled RTs"	0.9337	Hart2017	AVANA	0.85
44515	"Random
subsampled RTs"	0.9343	Hart2017	AVANA	0.9
44516	"Random
subsampled RTs"	0.9477	Hart2017	AVANA	0.95
44517	"Random
subsampled RTs"	0.8124	Hart2017	KY	0.05
44518	"Random
subsampled RTs"	0.8391	Hart2017	KY	0.1
44519	"Random
subsampled RTs"	0.8362	Hart2017	KY	0.15
44520	"Random
subsampled RTs"	0.8829	Hart2017	KY	0.2
44521	"Random
subsampled RTs"	0.8843	Hart2017	KY	0.25
44522	"Random
subsampled RTs"	0.9093	Hart2017	KY	0.3
44523	"Random
subsampled RTs"	0.9048	Hart2017	KY	0.35
44524	"Random
subsampled RTs"	0.9176	Hart2017	KY	0.4
44525	"Random
subsampled RTs"	0.9143	Hart2017	KY	0.45
44526	"Random
subsampled RTs"	0.9221	Hart2017	KY	0.5
44527	"Random
subsampled RTs"	0.9325	Hart2017	KY	0.55
44528	"Random
subsampled RTs"	0.9497	Hart2017	KY	0.6
44529	"Random
subsampled RTs"	0.9524	Hart2017	KY	0.65
44530	"Random
subsampled RTs"	0.9517	Hart2017	KY	0.7
44531	"Random
subsampled RTs"	0.9537	Hart2017	KY	0.75
44532	"Random
subsampled RTs"	0.964	Hart2017	KY	0.8
44533	"Random
subsampled RTs"	0.9617	Hart2017	KY	0.85
44534	"Random
subsampled RTs"	0.9699	Hart2017	KY	0.9
44535	"Random
subsampled RTs"	0.9787	Hart2017	KY	0.95
44536	"Random
subsampled RTs"	0.7663	ADaM2021	AVANA	0.05
44537	"Random
subsampled RTs"	0.8331	ADaM2021	AVANA	0.1
44538	"Random
subsampled RTs"	0.8719	ADaM2021	AVANA	0.15
44539	"Random
subsampled RTs"	0.8911	ADaM2021	AVANA	0.2
44540	"Random
subsampled RTs"	0.8959	ADaM2021	AVANA	0.25
44541	"Random
subsampled RTs"	0.8969	ADaM2021	AVANA	0.3
44542	"Random
subsampled RTs"	0.911	ADaM2021	AVANA	0.35
44543	"Random
subsampled RTs"	0.8953	ADaM2021	AVANA	0.4
44544	"Random
subsampled RTs"	0.8813	ADaM2021	AVANA	0.45
44545	"Random
subsampled RTs"	0.9018	ADaM2021	AVANA	0.5
44546	"Random
subsampled RTs"	0.9269	ADaM2021	AVANA	0.55
44547	"Random
subsampled RTs"	0.9395	ADaM2021	AVANA	0.6
44548	"Random
subsampled RTs"	0.9402	ADaM2021	AVANA	0.65
44549	"Random
subsampled RTs"	0.9409	ADaM2021	AVANA	0.7
44550	"Random
subsampled RTs"	0.9468	ADaM2021	AVANA	0.75
44551	"Random
subsampled RTs"	0.9474	ADaM2021	AVANA	0.8
44552	"Random
subsampled RTs"	0.9568	ADaM2021	AVANA	0.85
44553	"Random
subsampled RTs"	0.9631	ADaM2021	AVANA	0.9
44554	"Random
subsampled RTs"	0.9655	ADaM2021	AVANA	0.95
44555	"Random
subsampled RTs"	0.7743	ADaM2021	KY	0.05
44556	"Random
subsampled RTs"	0.8097	ADaM2021	KY	0.1
44557	"Random
subsampled RTs"	0.8469	ADaM2021	KY	0.15
44558	"Random
subsampled RTs"	0.8871	ADaM2021	KY	0.2
44559	"Random
subsampled RTs"	0.9232	ADaM2021	KY	0.25
44560	"Random
subsampled RTs"	0.9268	ADaM2021	KY	0.3
44561	"Random
subsampled RTs"	0.933	ADaM2021	KY	0.35
44562	"Random
subsampled RTs"	0.9371	ADaM2021	KY	0.4
